design_id,spec_id,design_type,rtl_chars,module_count,spec_text,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-1,fsm,1745,0,"Check that when reset_ is low, the state register transitions to S0 in the same clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-2,fsm,1745,0,"Verify that the FSM state transitions follow the specified sequence: S0 -> S1 always, S1 -> S2 when (~^(in_B) ^ in_N) is true, S1 -> S3 when ^ (in_E) is true, S1 -> S0 otherwise, S2 -> S0 always, and S3 -> S1 always",1.0,0.8333333333333334,0.8333333333333334,5,1,0,6,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-3,fsm,1745,0,"Verify that fsm_out is never assigned a value, and since fsm_out is declared as a reg but never driven in any procedural block, it will retain its uninitialized value, which should be fixed by properly assigning fsm_out <= state in the always_ff block",1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-1,fsm,1164,0,"Check that when reset_ is low, the state register resets to S0 (2'b00) at the next positive clock edge",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-2,fsm,1164,0,"Verify that the FSM always transitions from S0 to S2 unconditionally, and from S1 to S3 unconditionally",1.0,1.0,1.0,2,0,0,2,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-3,fsm,1164,0,"Verify that when in state S3, the next_state remains undefined/latched (no state transition specified)",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-1,fsm,1176,0,"Check that when reset_ is low, state register transitions to S0 in the next clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-2,fsm,1176,0,"Verify that when state is S0, next_state is always S3",1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-3,fsm,1176,0,"Verify that when state is S2, next_state is always S1",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-1,fsm,2380,0,"Check that when reset_ is low, state resets to S0 (3'b000) within one clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
