design_id,spec_id,design_type,rtl_chars,module_count,spec_text,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-1,,0,1,"Check that when reset_ is low, the state register transitions to S0 in the next clock cycle",no_verification,0,0,0,0,0,3,45.57476496696472,not_checked,ablation: verification disabled,1.0,0.0,0.0,0,1,0,1,True,0,3,,0,0
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-2,,0,1,Verify that the state register always remains within the valid range of 0 to 15 (4 bits),no_verification,0,0,0,0,0,4,40.98323345184326,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,4,,0,0
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-3,,0,1,"Check that the FSM never reaches a deadlock state where next_state is undefined (states S3, S6, S13, and S15 have no outgoing transitions)",no_verification,0,0,0,0,0,4,45.23849701881409,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,4,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-1,,0,1,"Check that when reset_ is low, the state register resets to S0 (4'b0000) in the next clock cycle",no_verification,0,0,0,0,0,2,26.409886598587036,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,2,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-2,,0,1,Verify that the state machine never transitions to an invalid state outside the range S0-S15 (4'b0000 to 4'b1111),no_verification,0,0,0,0,0,6,69.16927695274353,not_checked,ablation: verification disabled,0.0,0.0,0.0,0,0,0,1,True,0,6,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-3,,0,1,Verify that the fsm_out signal remains stable throughout the clock cycle and only updates on the positive edge of clk,no_verification,0,0,0,0,0,6,44.69516110420227,not_checked,ablation: verification disabled,1.0,0.0,0.0,0,1,0,1,True,0,6,,0,0
ni_16_nn_16_ne_64_wd_32_opd_3_0,ni_16_nn_16_ne_64_wd_32_opd_3_0-spec-1,,0,1,"Check that when reset_ is asserted low, the state register always resets to S0 (4'b0000) regardless of current state",no_verification,0,0,0,0,0,5,53.889482259750366,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,5,,0,0
ni_16_nn_16_ne_64_wd_32_opd_3_0,ni_16_nn_16_ne_64_wd_32_opd_3_0-spec-2,,0,1,"Verify that the state register only transitions on the positive edge of clk when reset_ is high, and never changes between clock edges",no_verification,0,0,0,0,0,3,54.01701855659485,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,3,,0,0
ni_16_nn_16_ne_64_wd_32_opd_3_0,ni_16_nn_16_ne_64_wd_32_opd_3_0-spec-3,,0,1,"Verify that fsm_out always reflects the current state value, and that the next_state computation in the always_comb block is purely combinational with no latches",no_verification,0,0,0,0,0,6,34.88320827484131,not_checked,ablation: verification disabled,0.0,0.0,0.0,0,0,0,3,True,0,6,,0,0
ni_16_nn_16_ne_64_wd_32_opd_5_0,ni_16_nn_16_ne_64_wd_32_opd_5_0-spec-1,,0,1,"Check that when reset_ is asserted low, the state register resets to S0 in the next clock cycle",no_verification,0,0,0,0,0,2,33.11910843849182,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,2,,0,0
ni_16_nn_16_ne_64_wd_32_opd_5_0,ni_16_nn_16_ne_64_wd_32_opd_5_0-spec-2,,0,1,Verify that the state transition logic is combinational and only depends on the current state and input values,no_verification,0,0,0,0,0,6,39.98293995857239,not_checked,ablation: verification disabled,0.0,0.0,0.0,0,0,0,3,True,0,6,,0,0
ni_16_nn_16_ne_64_wd_32_opd_5_0,ni_16_nn_16_ne_64_wd_32_opd_5_0-spec-3,,0,1,Check that the FSM output fsm_out always reflects the current state value and updates synchronously on the positive clock edge,no_verification,0,0,0,0,0,6,28.711718559265137,not_checked,ablation: verification disabled,1.0,0.0,0.0,0,1,0,1,True,0,6,,0,0
