design_id,spec_id,design_type,rtl_chars,module_count,spec_text,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-3,,0,0,,0.0,0.0,0.0,0,0,0,2,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-3,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-3,,0,0,,1.0,0.0,0.0,0,2,0,2,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-3,,0,0,,1.0,0.0,0.0,0,4,0,4,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-1,,0,0,,1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-2,,0,0,,1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-3,,0,0,,1.0,0.0,0.0,0,2,0,2,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-2,,0,0,,1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-3,,0,0,,1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_4_0,ni_16_nn_16_ne_32_wd_32_opd_4_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_4_0,ni_16_nn_16_ne_32_wd_32_opd_4_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_4_0,ni_16_nn_16_ne_32_wd_32_opd_4_0-spec-3,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-3,,0,0,,1.0,0.0,0.0,0,2,0,2,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_2_0,ni_16_nn_16_ne_48_wd_32_opd_2_0-spec-1,,0,0,,1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_2_0,ni_16_nn_16_ne_48_wd_32_opd_2_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_2_0,ni_16_nn_16_ne_48_wd_32_opd_2_0-spec-3,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_3_0,ni_16_nn_16_ne_48_wd_32_opd_3_0-spec-1,,0,0,,1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_3_0,ni_16_nn_16_ne_48_wd_32_opd_3_0-spec-2,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_3_0,ni_16_nn_16_ne_48_wd_32_opd_3_0-spec-3,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_4_0,ni_16_nn_16_ne_48_wd_32_opd_4_0-spec-1,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_4_0,ni_16_nn_16_ne_48_wd_32_opd_4_0-spec-2,,0,0,,0.0,0.0,0.0,0,0,0,16,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_48_wd_32_opd_4_0,ni_16_nn_16_ne_48_wd_32_opd_4_0-spec-3,,0,0,,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
